longname;risk;loggdp;logmort0
Bangladesh;5.1399999;6.8800001;4.2684379
Hong Kong;8.1400003;10.05;2.7013612
Indonesia;7.5900002;7.3299999;5.1357985
India;8.2700005;7.3299999;3.8842406
Sri Lanka;6.0500002;7.73;4.2456341
Malaysia;7.9499998;8.8900003;2.8735647
Pakistan;6.0500002;7.3499999;3.6106477
Singapore;9.3199997;10.15;2.8735647
Vietnam;6.4099998;7.2800002;4.9416423
