n_adults,n_youth,n_kids,gross_income,disposable_income
2,,3.0,11431.026867724997,8315.86850023222
1,,,1036.3309662901192,1009.3394001731212
2,,1.0,5733.3234673329525,4061.51667010604
2,,3.0,24604.095704048093,15022.482623884374
2,,2.0,6114.286747152115,6065.464552193469
2,,,50.619799709801875,1287.9999999999998
2,,,8745.143151109198,5277.012878716786
1,,,2616.302201330197,2432.9878334241475
4,,1.0,187.8602465251686,2603.399948409507
1,,,887.5271876190384,887.5271876190384
3,1.0,1.0,10868.201481313734,6909.37686930225
2,,,3071.0956923442477,1956.8199917457896
1,,,1456.8978019673216,1081.890599885586
1,,,366.964721270998,1112.5930414341258
4,1.0,,21.485697116100965,2764.649125184617
2,,1.0,5738.923523762222,4077.589803572807
2,,,2563.5909982938133,2182.679995573082
1,1.0,,3399.9644429541454,2562.347191643858
2,,2.0,309.9310887258233,1729.8119166003735
2,1.0,1.0,3613.808283148779,3428.4543087569446
2,,1.0,1345.6904017099318,1698.6555892727458
2,,,7606.9837966860005,5899.248940789999
2,,2.0,10576.453296869431,6479.039878301625
1,,,0.0,820.4163312870097
3,,,5121.911385085929,3948.1450130588933
2,,3.0,9591.308945825218,6392.187685928729
2,,,5404.602626783899,3447.4027604302996
2,,,4545.4335446719815,3632.519139509498
1,,,1094.422147508591,972.9412891351375
2,,,11741.024400789436,6620.158275230526
1,,,0.0,821.0
2,,2.0,4336.075759301659,3364.8442664314553
2,1.0,3.0,335.54356019871193,2245.611386128927
2,,2.0,2888.872471007369,3153.9369118789873
2,,2.0,111.45770352129071,1678.0
2,,1.0,1000.0800676654334,2105.2724027447584
3,1.0,1.0,18425.605213822742,11300.463333946303
4,,,5157.783502866369,4722.3762837714
1,,1.0,29.193947746938168,1158.5109219883093
2,,,8673.685191379178,5189.817245317216
2,,2.0,4065.0093465173104,3339.2064875276546
2,,1.0,2317.2616120326024,2443.39388737371
2,,,3600.612515685022,3290.282635918537
2,,5.0,196.81928348150748,2950.102727402566
1,,,0.0,1049.5247031512092
2,,1.0,4640.16368801209,4278.14077693869
1,,1.0,3039.8037827213684,2943.2004394647493
2,,,3670.3540103284395,2849.6872275532514
2,,,5504.590134076993,4197.740063755846
1,,,712.4142063484187,732.7702632182668
2,,,4099.119678615749,3534.0551407728767
1,,1.0,626.1976003224297,1312.4469266294861
8,2.0,1.0,271.5422452645895,5333.0962417460005
2,,,8059.64631939394,4595.4020518733
3,,,3610.7129483235703,2928.393931643245
3,,,304.92569272816337,1711.808096399951
2,,3.0,3708.008967644268,3725.0963174551744
2,,2.0,31355.18873706079,17940.478332901937
3,,3.0,1667.3086081922888,2795.5797389679537
2,,1.0,5601.359894080231,3839.086148775814
2,,1.0,1629.0196168354425,1917.637514154194
2,,,2944.442941137994,2935.8856196400184
2,,3.0,3405.7703104736497,2882.595730169478
1,,,3814.6834448390523,2178.9904534560146
2,,,2053.831917359428,1831.3462194542722
1,,1.0,2595.3354392432175,2564.964978278117
2,1.0,3.0,10949.397039996344,8085.604899766548
1,,,449.45865848534567,880.364115883016
2,,,1958.946921651519,1786.8923063541379
2,,3.0,7062.192509108181,5395.258414213996
1,,,0.0,1021.2506517350793
2,,,3547.102899397598,3359.5654014768024
1,,,1719.1413535899483,1601.7126194157283
1,,,2364.3933992389425,1570.4131025957863
1,,,40.41157850273181,946.2248948995417
2,,3.0,3073.8647736585935,2934.749249244425
1,,,2254.535754726511,2174.0992430955066
1,,,1775.1806190487375,1514.405111729023
1,,,3596.993151001809,2778.136518750728
2,,,2455.3308186471972,1960.3699404289896
1,,,4259.372209555219,3242.374239851466
1,,,1541.8074411612904,1486.997238424813
2,,,6745.58017356872,5438.820995637628
