n_adults,n_youth,n_kids,gross_income,disposable_income
4,0.0,0.0,3643.2815958517667,2768.2661044974725
2,2.0,2.0,31.336120320404984,882.6970311362799
2,0.0,0.0,3036.887690872642,2096.244919644729
2,0.0,2.0,1098.9454045363432,1327.5824505659796
2,0.0,0.0,2417.1693931771456,1985.186854489917
2,0.0,0.0,1718.991476633197,1659.6175343533125
1,0.0,0.0,422.6732672428861,606.3460440648973
3,0.0,1.0,9646.43805613181,6228.427902825595
1,0.0,0.0,2236.871051530612,1468.0060861781556
1,0.0,0.0,2350.483469399469,1529.6137221602
3,2.0,0.0,2501.170831252784,2274.283986801661
1,0.0,1.0,26.854252979722368,973.4907626388782
3,1.0,0.0,3038.864243429534,2208.9775797764596
1,0.0,1.0,22.45688288226013,891.1622476833148
1,0.0,0.0,7459.542068916121,3892.2378966077054
4,0.0,0.0,1553.8045329500958,1307.0785648416847
2,0.0,2.0,961.5600153779635,1155.9051023418224
2,0.0,1.0,2778.119261674357,1819.0137378935221
3,1.0,0.0,61.533334942657916,918.4
2,0.0,0.0,0.0,732.365797822085
2,0.0,0.0,2144.6759375086544,2039.1473837174415
2,0.0,3.0,3230.2010376042776,2422.66611848197
3,0.0,0.0,2682.235496447099,1778.0751519514852
1,0.0,0.0,0.0,816.0
2,0.0,1.0,4665.101213884398,2981.329235093191
1,0.0,1.0,2641.0814760117964,2409.2520731378245
2,0.0,6.0,258.1261814781494,931.4886906719937
4,2.0,0.0,3199.344378700819,2050.640006428092
3,0.0,0.0,336.0585558530551,947.3877558596002
1,0.0,0.0,3198.8392948325554,1917.505494913833
2,0.0,1.0,2774.536931378921,1985.0200321972834
2,0.0,0.0,4140.038313856806,4056.0087259748034
1,0.0,0.0,1737.4674116878073,1231.206116756962
2,0.0,0.0,6831.814297822304,3739.3600450611175
2,0.0,1.0,3668.9404004794283,2121.4708307097735
1,0.0,0.0,3456.931576205367,3217.1100841301763
1,0.0,0.0,3043.822109088513,1848.354210709986
2,0.0,0.0,3001.118745638362,2471.2646409178747
2,0.0,0.0,427.6229727954132,574.1272742913926
1,0.0,2.0,2182.2821262602215,2164.157065765362
2,0.0,0.0,4584.096485350827,2894.197195930275
2,1.0,1.0,3028.584666535526,2246.9168419436896
2,0.0,0.0,2902.3076447240587,1908.81351059872
2,0.0,2.0,1006.8355768603569,1275.3251344743853
2,0.0,1.0,3501.59996106171,2254.600336164534
1,0.0,0.0,1427.6610851925009,1060.4548779261252
2,1.0,1.0,5452.755177588364,3640.575055065758
1,0.0,0.0,4458.658363637729,2736.163616586552
