,hhincome
4967,22001
4975,437100
4980,37000
4981,26856
4989,177018
5001,120002
5008,21001
5035,47003
5036,35900
5049,303
5050,67361
5051,84305
5059,50012
5060,127491
5085,159205
5121,63683
5152,96500
5212,34716
5237,106938
5240,94967
5241,217410
5257,9600
5277,34094
5292,30070
5293,22148
5315,75395
5320,250000
5325,45422
5336,33654
5348,34800
5355,34511
5390,45001
5402,11041
5419,10002
5420,46001
5423,25680
5424,200520
5486,75800
5503,100001
5510,15600
5523,33280
5528,52000
5538,0
5554,56202
5561,120001
5564,59950
5623,29407
5624,120002
5628,86283
5639,16441
5640,15373
5641,1206
5654,52000
5690,70000
5695,75251
5696,162803
5697,39271
5701,32040
5718,30301
5730,21600
5731,19897
5732,10801
5743,14905
5744,12949
5758,92301
5777,9800
5778,120445
5787,6473
5797,20856
5812,29001
5815,37442
5822,200000
5840,0
5846,505800
5847,7646
5854,10573
5896,30000
5897,61450
5898,101021
5899,30972
5917,85002
5938,50002
5959,88705
5962,74538
5966,93541
5973,60012
5974,91276
5975,0
5976,11641
5981,54020
6001,40580
6002,100140
6003,72726
6004,29602
6010,46660
6019,34402
6022,20161
6023,11041
6028,55020
6058,68503
6086,55296
6087,112014
6134,65842
6145,33552
6165,100518
6171,1980
6177,46890
6210,30070
6229,87000
6230,41935
6231,150300
6236,30581
6241,130750
6242,10968
6245,92649
6253,170801
6263,74400
6270,64512
6271,55502
6279,15445
6280,102743
6288,24363
6295,159003
6296,55303
6297,600
6298,12841
6299,25537
6310,23642
6313,10682
6316,7
6317,18518
6322,30045
6326,13561
6331,101024
6341,135101
6342,36918
6343,60311
6344,20401
6348,5210
6349,177952
6360,25402
6372,130040
6378,12841
6383,40817
6384,11136
6395,66490
6404,31273
6405,100500
6422,56220
6432,156100
6433,424055
6436,50014
6437,12000
6438,35001
6449,32000
6450,9241
6457,16357
6499,108440
6503,10500
6520,63015
6521,35572
6524,120121
6528,100650
6538,5200
6543,52452
6548,154017
6549,0
6575,72020
6576,4742
6577,62652
6581,68342
6582,11041
6586,15085
6589,200770
6592,19574
6610,20711
6616,8556
6617,57001
6637,9610
6653,14713
6656,24773
6670,33000
6691,91152
6706,27084
6710,68501
6711,136063
6712,34500
6729,251204
6735,30070
6742,55227
6756,7500
6760,30005
6761,31012
6764,15792
6796,1500
6811,36808
6826,48019
6829,17340
6838,47000
6850,40001
6854,64275
6864,473878
6873,0
6888,93006
6889,40111
6907,27111
6908,78000
6925,0
6955,12000
6967,31210
6968,13054
6969,14400
6970,34000
6979,85000
7009,38775
7010,50001
7026,0
7034,13000
7037,69391
7038,89605
7039,119070
7044,37680
7065,180056
7087,22705
7088,70613
7111,36971
7112,20000
7117,61120
7118,31642
7126,20908
7175,117701
7176,162423
7177,19372
7178,109400
7187,11532
7188,40401
7193,179106
7194,73001
7197,11851
7209,45246
7215,95648
7218,22886
7221,15373
7241,10165
7242,36782
7245,113053
7263,164651
7266,90036
7267,0
7268,102002
7281,118927
7290,42002
7309,24401
7310,62155
7330,55004
7333,38000
7334,16140
7346,67193
7369,49400
7386,101440
7391,14605
7485,70640
7580,35269
7585,160107
7586,170492
7623,29
7636,21241
7639,49200
7646,50
7649,16441
7658,38000
7669,24363
7673,15020
7674,21290
7677,57483
7681,24324
7695,70000
7702,132480
7703,68591
7710,31121
7713,36880
7714,73005
7720,52800
7721,41150
7738,23881
7761,115001
7823,47200
7839,40862
7840,38812
7841,91800
7845,32000
7851,153751
7872,45879
7875,196539
7890,61044
7894,21939
7895,131905
7896,80380
7899,131585
7900,26301
7901,122040
7904,86283
7905,10333
7908,17328
7909,47696
7910,96165
7911,26092
7912,75823
7916,5200
7928,45422
7934,22400
7935,36300
7936,41641
7939,28080
7950,18889
7951,68161
7952,113992
7971,62001
7982,11724
7985,33080
7994,71051
7995,65003
7996,11580
8001,52765
8002,82361
8003,30612
8006,31743
8007,20449
8028,68751
8029,62300
8065,32200
8069,22237
8070,12000
8075,47785
8076,11400
8077,0
8096,21601
8097,59000
8102,49489
8122,21939
8126,20041
8139,10968
8145,40889
8146,16180
8165,54570
8166,9600
8186,109709
8208,110135
8214,39319
8215,20000
8254,45045
8255,17411
8256,72286
8269,13693
8303,49800
8328,43000
8329,101401
8330,35000
8348,23350
8362,210190
8368,10560
8387,13189
8412,32660
8413,57000
8419,34441
8420,45002
8426,53501
8435,93755
8443,10968
8446,15900
8454,58200
8489,60350
8505,22441
8523,0
8557,51443
8560,41150
8561,37294
8571,28491
8577,63099
8578,41237
8582,56026
8583,54804
8584,80205
8589,100007
8590,114002
8594,32177
8599,66590
8602,19782
8608,132038
8609,32671
8614,155311
8615,40000
8618,98000
8619,36404
8660,125410
8669,23000
8670,42200
8706,26045
8709,14821
8710,15575
8711,11038
8712,6002
8713,12433
8714,0
8715,60596
8716,13310
8717,17928
8718,12433
8736,28126
8743,29881
8744,15180
8757,11641
8776,65900
8795,78421
8813,56603
8814,71843
8831,17411
8834,50210
8835,59140
8864,33969
8867,18000
8872,5820
8876,59839
8884,1426
8885,128549
8886,82021
8891,19750
8901,85000
8910,76230
8920,25480
8930,141700
8939,39172
8940,80852
8949,14641
8987,109569
8996,600300
9002,39816
9003,27553
9004,33080
9026,73403
9033,1200
9051,53390
9086,53358
9087,10000
9147,99004
9178,19680
9179,100989
9226,19981
9227,48285
9264,49262
9277,68631
9282,31044
9285,120101
9289,46240
9298,20737
9299,25029
9314,27912
9319,71005
9320,80102
9324,13249
9329,51002
9333,16840
9336,51002
9370,28441
9375,90000
9380,10015
9397,10400
9398,55988
9408,1206
9417,16549
9428,31701
9437,120206
9438,43633
9459,52141
9483,52002
9491,43562
9496,30500
9515,100555
9527,129828
9557,11280
9558,23000
9564,39700
9565,42002
9590,125081
9600,23400
9607,24938
9628,60001
9629,8000
9633,120500
9640,14689
9650,35015
9651,20002
9667,36414
9668,19000
9689,75001
9700,96021
9712,28745
9732,61000
9733,196552
9741,47906
9754,67010
9760,10452
9761,9480
9766,103270
9767,38001
9768,10801
9769,84501
9773,4801
9786,24472
9797,3942
9811,55801
9814,59148
9815,7000
9816,26802
9823,64602
9824,4840
9831,39445
9853,14965
9862,91276
9870,103600
9919,91613
9925,309257
9931,37301
9932,510282
9938,90000
9939,48673
9940,80320
9943,71621
9965,14930
9966,19092
9977,21241
9994,100011
10035,9400
10039,28000
10101,45401
10106,56800
10127,36259
10128,13249
10140,66513
10141,15468
10154,21321
10155,64644
10163,267560
10170,17234
10179,165855
10180,59100
10211,22901
10240,115096
10246,69235
10247,130908
10258,43539
10259,20400
10260,38694
10271,18097
10272,90194
10302,25702
10314,53019
10324,19769
10341,40846
10345,31643
10365,9007
10378,18012
10379,15567
10380,55767
10381,47041
10382,0
10385,24046
10395,83470
10402,61200
10403,12204
10404,48008
10405,12048
10406,67035
10407,45042
10408,26041
10411,33281
10429,55828
10430,10314
10453,21501
10454,19613
10465,17213
10466,33241
10467,48386
10468,107801
10474,36937
10484,31001
10524,24842
10536,55360
10547,31000
10548,62961
10570,52001
10573,69596
10576,62301
10589,4003
10590,89131
10591,20724
10606,68062
10607,54003
10614,21481
10669,101312
10670,110010
10678,286553
10690,16380
10698,25081
10699,19467
10700,37897
10708,2
10721,185850
10733,56446
10755,43308
10764,72002
10765,25010
10770,80002
10787,53604
10788,65851
10789,10968
10807,30000
10808,0
10809,15348
10813,102450
10833,19202
10861,61329
10896,12841
10915,68330
10916,21241
10919,55001
10920,55000
10925,20556
10926,6001
10927,34094
10930,14343
10936,174652
10945,65000
10946,5260
10947,884
10948,32000
10949,23957
10950,21229
10951,28147
10952,90073
10955,24841
10966,137465
10971,3348
10972,0
10973,9152
10985,90000
10990,1918
10995,0
10999,0
11000,30000
11005,58129
11006,115189
11033,11650
11034,15241
11035,62001
11038,60000
11039,5000
11040,56901
11060,26501
11075,14041
11104,35572
11105,21000
11110,13704
11111,111056
11115,24584
11121,18000
11132,27968
11133,33600
11136,23448
11137,123100
11143,78903
11155,66300
11158,70050
11193,42068
11194,2302
11204,33063
11205,22737
11208,43320
11234,100410
11237,20009
11240,10801
11241,25687
11244,45715
11247,13633
11248,26802
11249,59773
11255,28568
11265,44650
11287,10969
11307,65001
11308,16001
11309,34000
11310,38000
11311,2041
11312,33240
11318,74051
11319,0
11322,18876
11329,0
11330,40000
11331,21000
11332,40000
11358,31200
11359,16442
11369,12841
11379,60120
11382,60815
11394,39202
11395,21000
11407,26000
11408,34413
11419,120100
11440,30001
11441,29144
11442,0
11476,10297
11477,8001
11478,11185
11479,15015
11483,47003
11493,34070
11501,9500
11502,3468
11512,11042
11533,10510
11545,14930
11546,9151
11562,89265
11567,38120
11568,35005
11599,30000
11604,5
11607,820000
11612,86513
11613,30661
11617,0
11633,0
11643,33241
11651,20000
11671,72001
11672,120000
11673,35000
11681,46766
11755,28094
11762,15750
11773,130
11801,28655
11809,34848
11810,65199
11811,108276
11812,0
11813,12181
11814,69530
11815,92400
11816,22922
11831,144502
11838,20000
11839,63662
11840,101256
11841,91413
11845,31200
11849,35616
11850,17641
11851,12000
11856,102010
11868,2
11886,128436
11887,59364
11888,13009
11897,86800
11900,18010
11905,78000
11906,52261
11909,20172
11910,157130
11911,50700
11923,26184
11929,200
11947,212377
11960,15000
11988,80031
11991,55600
12000,126005
12001,86885
12002,35050
12011,12481
12012,0
12018,15000
12030,11004
12033,20001
12052,162000
12053,19701
12057,178787
12061,60000
12082,23040
12086,3000
12087,23040
12088,80000
12089,36200
12090,172200
12102,4888
12103,75388
12104,100008
12107,185500
12108,95251
12117,75000
12118,17000
12125,76926
12126,19178
12148,25500
12174,51706
12175,30061
12180,151320
12185,170025
12186,155300
12187,14041
12198,8320
12203,100000
12204,201476
12205,15241
12206,15373
12212,18346
12213,125586
12221,85202
12225,19273
12228,2200
12238,141100
12239,14400
12249,24936
12271,48988
12272,88496
12323,5240
12332,31804
12333,11424
12334,15200
12390,54000
12391,17292
12392,10800
12399,48001
12400,3660
12401,22696
12412,121501
12419,34440
12426,0
12427,6400
12446,60000
12464,16921
12469,47000
12470,18841
12471,4105
12504,75000
12505,32000
12506,75000
12507,90001
12512,127860
12523,99210
12524,351
12538,15481
12539,131121
12544,13549
12545,24876
12546,39302
12567,3266
12572,21229
12573,24841
12594,85025
12595,98852
12608,35619
12646,110940
12654,186355
12672,137000
12677,157675
12694,35000
12715,121141
12722,61935
12741,30331
12804,42180
12880,65001
12914,60000
12947,57350
12957,303003
12963,201000
12964,13680
12965,63962
12968,192245
12969,449330
12970,142211
12971,323071
12972,159100
12975,229606
12976,10801
12980,30000
12983,50940
12984,48052
12985,16100
12986,18179
12987,124022
12994,250011
12997,144012
12998,46005
12999,76170
13000,22080
13001,125000
13010,37826
13011,27000
13012,14064
13013,87905
13019,13177
13020,126051
13023,17422
13024,36000
13025,135353
13029,31368
13034,68090
13035,67002
13039,152477
13042,14892
13043,36061
13044,88000
13050,58200
13053,7500
13054,3260
13055,80001
13056,11292
13057,169000
13063,15241
13064,62400
13067,5906
13068,2400
13069,49381
13070,93640
13078,41305
13083,24000
13086,37515
13089,101010
13090,15961
13091,140800
13092,160860
13097,12601
13098,56000
13099,23200
13103,108301
13109,85011
13118,11280
13122,376300
13123,8113
13124,12842
13129,424055
13132,184830
13133,33002
13141,73600
13142,75435
13152,90012
13155,181926
13158,130550
13162,158408
13163,78247
13164,170010
13165,112030
13166,40000
13167,21660
13168,16741
13169,717035
13178,270000
13179,10801
13180,0
13186,87078
13187,30000
13190,9241
13191,90070
13195,331020
13198,97000
13202,27298
13206,3000
13210,10800
13211,9085
13220,60150
13223,4000
13231,13000
13232,13000
13235,15960
13236,4375
13239,135008
13240,20164
13258,115375
13265,32000
13274,26043
13275,18781
13276,23328
13277,222012
13296,156700
13297,9500
13305,310
13306,12241
13347,20800
13353,19486
13357,100009
13358,29000
13359,53508
13362,14028
13375,60005
13379,48917
13380,11851
13381,40493
13393,71641
13444,30842
13459,16900
13471,40106
13486,117602
13487,39005
13491,90110
13492,50665
13507,32012
13508,9880
13529,55112
13563,65681
13573,27325
13595,55001
13631,22086
13632,94967
13633,88558
13634,133003
13668,41300
13669,115151
13690,58020
13693,18003
13706,115006
13722,208100
13723,70580
13724,75358
13739,37648
13740,70000
13758,31769
13776,24454
13792,89000
13816,35106
13841,45583
13842,27622
13858,0
13863,28000
13882,85029
13887,34876
13892,90002
13899,10008
13902,5272
13906,132110
13907,22454
13915,17328
13930,77233
13937,90503
13951,8000
13964,40003
13987,49403
14053,30000
14068,73005
14085,18842
14094,17064
14095,0
14096,20511
14097,237510
14105,0
14115,43205
14116,169600
14121,40150
14140,0
14150,38526
14158,6500
14159,5
14160,70007
14180,75000
14192,20002
14201,9600
14202,12396
14207,48002
14208,49000
14209,165400
14253,40494
14257,141061
14263,19992
14264,19841
14269,36542
14270,801
14275,13681
14280,55324
14293,182360
14294,30641
14295,21000
14336,19154
14358,12433
14374,8608
14375,51989
14376,163400
14388,8677
14391,15031
14394,160230
14401,23254
14444,30002
14488,75287
14489,30000
14521,143366
14536,20540
14550,65753
14553,29000
14567,83820
14577,17676
14578,48570
14587,33400
14588,67002
14591,107706
14592,27265
14596,21341
14609,18665
14640,210600
14644,9151
14655,159620
14667,60002
14702,97720
14738,41522
14751,40580
14794,132600
14795,39275
14828,17473
14899,46488
14965,13802
14966,16489
14994,39055
14995,19400
14998,107021
15003,17440
15009,185053
15012,57201
15013,45777
15016,30028
15020,89036
15038,20711
15039,20941
15044,70100
15045,22884
15046,16000
15065,11136
15072,47821
15085,57000
15086,74819
15097,71120
15103,110036
15104,14053
15119,66213
15131,22
15132,75323
15143,230053
15204,20042
15248,46660
15255,65006
15268,75050
15276,13632
15277,83000
15305,114190
15306,1
15331,28368
15334,3025
15335,30000
15384,11852
15385,60506
15388,45201
15407,96053
15425,68543
15459,30310
15475,106527
15488,95400
15495,90002
15498,27755
15499,53514
15500,87448
15510,68651
15533,78276
15540,52100
15574,29062
15577,70002
15578,47873
15579,10320
15597,12492
15600,66510
15604,53181
15605,10092
15606,44901
15612,92736
15620,67079
15624,96119
15652,40001
15660,15534
15661,13453
15674,42506
15691,19980
15696,16500
15697,8220
15700,18072
15703,33165
15713,24725
15714,23198
15715,13441
15726,36722
15727,18768
